Event,Timestamp
Process A,2024-09-20 00:29:15
Process A,2024-10-03 17:39:15
Process B,2024-09-29 23:48:15
Start,2024-09-24 15:17:15
Process A,2024-09-22 08:13:15
End,2024-09-15 02:35:15
Process B,2024-09-21 03:36:15
Process A,2024-10-08 13:10:15
Process B,2024-09-26 13:38:15
End,2024-09-28 08:57:15
Process A,2024-09-14 23:27:15
Process A,2024-09-08 16:11:15
End,2024-10-02 07:32:15
Process B,2024-10-05 00:34:15
Start,2024-09-25 20:05:15
End,2024-09-24 21:12:15
Start,2024-09-18 03:13:15
Process B,2024-09-20 11:51:15
Start,2024-09-09 12:44:15
Start,2024-09-27 19:18:15
End,2024-09-20 12:23:15
Process A,2024-09-08 23:24:15
Process B,2024-09-12 06:42:15
Process B,2024-09-19 02:52:15
Start,2024-09-18 19:03:15
End,2024-09-19 16:12:15
Start,2024-10-03 17:50:15
Process A,2024-09-15 08:44:15
Process A,2024-09-21 00:00:15
End,2024-10-02 03:27:15
End,2024-09-29 22:19:15
Start,2024-09-19 14:12:15
Start,2024-09-20 08:44:15
Start,2024-09-12 08:31:15
Start,2024-09-28 23:34:15
Process A,2024-09-26 17:34:15
Process A,2024-09-12 02:33:15
End,2024-09-17 16:27:15
Start,2024-09-21 04:34:15
End,2024-10-03 16:14:15
Process B,2024-10-03 16:00:15
Process A,2024-09-13 07:48:15
Process A,2024-10-05 23:21:15
Start,2024-10-05 04:16:15
Process B,2024-09-28 12:20:15
End,2024-09-16 03:32:15
Start,2024-09-26 03:32:15
Start,2024-09-29 07:09:15
Process B,2024-09-17 11:06:15
Process A,2024-10-01 12:35:15
Start,2024-10-08 03:35:15
Process B,2024-10-03 10:23:15
Start,2024-10-05 04:03:15
Start,2024-09-12 22:57:15
End,2024-09-15 13:56:15
Process B,2024-09-24 08:38:15
Process A,2024-09-30 18:03:15
Start,2024-09-09 14:42:15
Process B,2024-09-30 22:04:15
Process A,2024-09-18 05:55:15
End,2024-09-10 16:03:15
Start,2024-10-01 01:48:15
Process A,2024-09-26 13:31:15
Start,2024-09-22 06:02:15
Process B,2024-10-04 11:08:15
Process B,2024-09-30 05:41:15
End,2024-10-06 13:20:15
Process A,2024-10-03 09:16:15
Start,2024-09-12 14:26:15
Start,2024-10-07 12:17:15
End,2024-09-15 21:32:15
Process B,2024-09-29 16:42:15
Start,2024-10-01 14:18:15
End,2024-10-02 12:45:15
Process A,2024-09-08 17:25:15
Start,2024-09-26 13:36:15
Start,2024-09-27 11:19:15
End,2024-09-16 20:36:15
End,2024-09-10 07:58:15
Process A,2024-09-22 00:55:15
Process A,2024-10-02 12:27:15
Start,2024-09-08 07:29:15
End,2024-10-02 09:16:15
End,2024-09-21 13:34:15
End,2024-09-27 04:05:15
End,2024-09-09 20:25:15
Process A,2024-09-29 00:29:15
Start,2024-10-07 06:19:15
Process A,2024-09-19 02:03:15
Start,2024-09-17 05:34:15
End,2024-09-08 12:31:15
Process B,2024-09-09 19:48:15
End,2024-10-06 17:50:15
Process A,2024-09-21 03:30:15
End,2024-09-28 17:25:15
End,2024-09-15 02:07:15
Start,2024-09-12 12:02:15
Start,2024-09-17 12:18:15
Start,2024-09-21 07:09:15
Start,2024-09-27 12:18:15
Process A,2024-09-12 06:05:15
Start,2024-09-22 00:20:15
Process A,2024-09-15 08:55:15
Start,2024-09-26 12:22:15
Start,2024-10-04 11:04:15
Start,2024-09-22 12:28:15
Start,2024-09-15 05:33:15
Process B,2024-10-08 15:47:15
Start,2024-09-11 19:26:15
Start,2024-09-28 15:27:15
Process A,2024-09-27 14:49:15
Process B,2024-09-30 11:01:15
Process A,2024-10-07 06:49:15
Start,2024-09-23 00:09:15
Process B,2024-09-30 10:58:15
Start,2024-09-09 05:17:15
End,2024-09-15 07:31:15
Process B,2024-09-24 01:22:15
Process B,2024-09-13 20:19:15
End,2024-09-25 20:17:15
Process A,2024-09-22 12:12:15
Start,2024-09-23 15:41:15
Start,2024-09-08 12:21:15
Start,2024-09-09 19:18:15
Start,2024-10-02 05:15:15
Start,2024-09-22 07:03:15
Start,2024-09-28 18:52:15
Start,2024-09-23 06:19:15
Process A,2024-09-29 04:41:15
Process A,2024-10-05 09:41:15
Start,2024-09-16 13:09:15
End,2024-09-14 11:03:15
End,2024-09-21 03:34:15
Process A,2024-09-26 17:57:15
Start,2024-10-08 03:19:15
Start,2024-09-11 21:48:15
Process A,2024-09-18 01:33:15
Process A,2024-09-19 04:51:15
End,2024-09-17 14:53:15
Start,2024-09-26 11:26:15
End,2024-09-18 15:47:15
Process A,2024-09-22 13:11:15
Process A,2024-10-07 07:38:15
Process B,2024-09-13 10:09:15
End,2024-09-11 12:56:15
Start,2024-10-07 00:31:15
Process A,2024-09-14 17:36:15
Process B,2024-09-12 09:36:15
Start,2024-09-18 20:20:15
End,2024-09-23 15:53:15
Process B,2024-10-06 22:22:15
Process A,2024-09-10 11:13:15
Process B,2024-09-15 06:27:15
Start,2024-09-24 01:58:15
End,2024-09-20 11:22:15
Process A,2024-09-19 02:58:15
Process A,2024-10-03 02:01:15
End,2024-09-29 19:22:15
Process A,2024-09-17 16:13:15
Start,2024-10-07 16:30:15
Process B,2024-10-05 11:47:15
Start,2024-09-25 03:47:15
Process B,2024-10-08 12:33:15
End,2024-09-20 21:45:15
Start,2024-09-16 18:03:15
Start,2024-09-10 12:04:15
Process A,2024-10-01 02:33:15
End,2024-09-24 05:53:15
Start,2024-09-17 03:10:15
Process A,2024-10-03 20:30:15
End,2024-09-12 14:57:15
End,2024-10-07 02:30:15
End,2024-09-22 11:22:15
Process B,2024-09-23 06:31:15
Start,2024-10-06 13:40:15
End,2024-09-15 15:59:15
Process A,2024-09-08 10:52:15
Process B,2024-10-06 23:19:15
Start,2024-09-19 07:13:15
Process B,2024-09-20 05:12:15
Process A,2024-09-23 03:10:15
Process B,2024-09-16 10:45:15
Start,2024-09-07 19:41:15
End,2024-09-19 14:26:15
Start,2024-09-23 15:16:15
Start,2024-09-23 06:44:15
Process A,2024-10-01 06:06:15
End,2024-09-25 05:03:15
End,2024-10-08 13:40:15
End,2024-10-08 05:53:15
Process A,2024-09-18 12:04:15
End,2024-09-10 07:24:15
Process B,2024-10-01 20:25:15
End,2024-10-04 15:01:15
Process A,2024-09-24 05:41:15
Start,2024-10-08 13:27:15
Process A,2024-10-04 06:19:15
Start,2024-09-24 13:29:15
Process B,2024-09-28 18:16:15
Process A,2024-09-17 16:10:15
End,2024-09-18 22:40:15
Process B,2024-09-21 20:42:15
Start,2024-10-03 18:54:15
End,2024-10-04 23:22:15
End,2024-09-08 10:42:15
Process A,2024-09-29 17:12:15
End,2024-09-24 18:40:15
Start,2024-09-28 12:08:15
Start,2024-09-11 04:22:15
Process B,2024-09-09 03:41:15
Process B,2024-10-02 22:48:15
Start,2024-09-08 19:40:15
Process A,2024-09-19 14:36:15
Process B,2024-10-07 06:05:15
Process A,2024-10-07 11:14:15
Process A,2024-10-04 01:41:15
Start,2024-09-12 15:10:15
Process B,2024-09-20 00:50:15
Start,2024-09-15 13:02:15
Start,2024-09-18 03:11:15
Start,2024-10-04 05:02:15
End,2024-09-29 09:21:15
End,2024-10-08 12:10:15
Process A,2024-10-06 02:06:15
Process B,2024-10-05 01:53:15
End,2024-09-21 17:18:15
Process A,2024-10-02 14:39:15
Process B,2024-10-08 04:50:15
Start,2024-10-07 03:58:15
Process B,2024-09-20 21:23:15
Start,2024-09-11 12:44:15
Process B,2024-10-06 19:14:15
Start,2024-09-21 21:11:15
End,2024-09-20 01:31:15
Process A,2024-09-11 02:09:15
Process B,2024-10-04 16:16:15
Process A,2024-09-10 22:47:15
Start,2024-09-29 21:52:15
Process A,2024-09-24 14:14:15
End,2024-10-04 05:16:15
Process A,2024-09-21 07:33:15
Process A,2024-10-07 08:27:15
Process A,2024-09-20 15:01:15
End,2024-09-13 23:05:15
Start,2024-09-29 21:15:15
Process B,2024-10-02 10:33:15
End,2024-10-05 16:44:15
End,2024-10-06 09:19:15
End,2024-09-27 17:08:15
Process B,2024-10-01 19:42:15
Start,2024-09-09 03:42:15
Process A,2024-09-20 23:40:15
Process B,2024-09-18 03:58:15
Process B,2024-09-27 08:18:15
Process B,2024-09-29 19:09:15
Start,2024-09-22 09:22:15
Process B,2024-09-26 12:51:15
Process A,2024-09-09 00:02:15
Start,2024-10-07 01:41:15
Process A,2024-09-15 06:22:15
Process B,2024-09-18 05:04:15
End,2024-09-13 05:18:15
Start,2024-09-25 09:02:15
Start,2024-09-14 01:35:15
End,2024-10-08 05:29:15
End,2024-10-07 23:37:15
End,2024-09-24 07:46:15
Start,2024-10-07 15:59:15
Start,2024-09-08 15:25:15
Start,2024-09-30 09:24:15
End,2024-10-04 11:17:15
Process A,2024-09-17 09:47:15
Start,2024-09-27 05:22:15
Process A,2024-09-14 16:21:15
End,2024-09-15 00:50:15
End,2024-09-16 09:59:15
Start,2024-09-21 04:22:15
Process B,2024-09-25 10:40:15
End,2024-09-19 12:18:15
Start,2024-09-20 22:05:15
End,2024-09-22 10:59:15
Start,2024-09-15 09:10:15
Process A,2024-10-05 22:01:15
Start,2024-10-02 19:52:15
Start,2024-10-02 14:23:15
Start,2024-09-14 14:17:15
Process B,2024-09-09 10:00:15
Process A,2024-09-23 01:56:15
Start,2024-09-14 14:15:15
Process A,2024-09-27 08:30:15
Process B,2024-10-06 11:09:15
Start,2024-10-06 14:38:15
Process B,2024-09-28 06:00:15
Process B,2024-09-16 12:40:15
Process A,2024-10-05 18:28:15
Process A,2024-09-25 05:25:15
End,2024-10-02 21:19:15
Process A,2024-09-08 08:40:15
End,2024-09-10 16:34:15
Process A,2024-10-08 01:05:15
Start,2024-09-27 02:39:15
Start,2024-10-06 16:18:15
Start,2024-09-12 00:07:15
Process B,2024-10-06 13:22:15
Start,2024-09-16 01:37:15
Process B,2024-09-18 15:06:15
End,2024-10-02 05:05:15
End,2024-10-01 06:42:15
Process B,2024-09-11 23:01:15
Process A,2024-09-18 11:47:15
Process B,2024-09-15 15:45:15
Process B,2024-09-17 23:08:15
Process B,2024-09-09 22:01:15
End,2024-09-16 15:23:15
Start,2024-09-14 21:48:15
Process A,2024-09-23 18:29:15
End,2024-09-28 07:40:15
Start,2024-09-25 08:23:15
End,2024-10-05 15:22:15
End,2024-10-08 15:44:15
Process B,2024-09-14 10:41:15
Start,2024-09-15 23:50:15
Start,2024-09-11 10:39:15
Start,2024-09-26 21:00:15
Start,2024-09-11 07:07:15
Process B,2024-09-09 05:44:15
End,2024-09-28 10:00:15
Start,2024-09-14 00:00:15
End,2024-09-19 09:50:15
Start,2024-09-21 04:59:15
Process B,2024-09-11 06:09:15
End,2024-09-10 13:07:15
Process B,2024-09-28 13:04:15
Process A,2024-09-24 09:25:15
Process A,2024-10-03 01:41:15
Process B,2024-09-25 11:59:15
Process B,2024-09-25 05:34:15
Process B,2024-09-08 16:23:15
Process B,2024-10-07 14:24:15
End,2024-09-09 04:17:15
Process A,2024-10-06 02:12:15
End,2024-09-11 08:47:15
Process B,2024-09-26 18:36:15
Process A,2024-09-29 19:42:15
Process A,2024-09-30 11:22:15
Process B,2024-09-22 18:16:15
Process A,2024-09-25 02:52:15
Process A,2024-09-30 09:10:15
Process B,2024-09-12 10:50:15
End,2024-09-14 13:00:15
Process A,2024-10-07 18:38:15
End,2024-10-01 20:36:15
Start,2024-10-02 13:45:15
End,2024-09-11 06:16:15
Process A,2024-10-08 15:10:15
End,2024-09-30 07:39:15
Start,2024-10-07 05:33:15
Process B,2024-10-03 11:03:15
Process A,2024-09-29 13:17:15
Process A,2024-09-18 19:53:15
End,2024-10-01 07:15:15
Process A,2024-09-29 12:55:15
Process A,2024-09-25 05:33:15
Process B,2024-09-09 03:17:15
Process A,2024-09-28 14:05:15
Start,2024-10-04 15:57:15
Process B,2024-09-19 21:04:15
Process A,2024-09-20 09:58:15
Process A,2024-09-13 04:05:15
Process B,2024-09-12 03:49:15
Process A,2024-09-21 04:43:15
Process A,2024-09-08 21:51:15
Start,2024-10-02 17:39:15
Process A,2024-09-29 08:32:15
Process A,2024-09-13 20:53:15
Start,2024-09-21 11:30:15
End,2024-09-22 08:20:15
Process B,2024-10-03 09:07:15
Process A,2024-09-29 05:51:15
End,2024-09-25 09:51:15
Start,2024-10-05 22:52:15
End,2024-10-02 00:01:15
End,2024-09-11 04:09:15
Start,2024-10-08 01:27:15
Process B,2024-09-18 12:23:15
End,2024-09-14 17:49:15
Process B,2024-10-06 03:23:15
Process B,2024-09-19 22:11:15
Start,2024-09-20 04:59:15
Process B,2024-09-13 00:00:15
Process A,2024-09-26 11:19:15
Process B,2024-09-21 06:09:15
Process B,2024-10-07 04:57:15
End,2024-10-01 14:56:15
Process A,2024-09-24 00:31:15
Start,2024-09-17 21:33:15
Process A,2024-10-07 01:04:15
Process B,2024-09-11 02:50:15
Process A,2024-09-12 01:04:15
End,2024-10-04 07:57:15
End,2024-10-01 09:09:15
Process A,2024-09-09 06:49:15
Start,2024-09-19 14:08:15
Start,2024-09-26 06:11:15
End,2024-10-01 16:09:15
Process A,2024-09-07 19:52:15
Process B,2024-10-01 07:25:15
End,2024-09-17 15:49:15
Start,2024-10-04 21:34:15
Process A,2024-09-14 10:32:15
Start,2024-10-03 15:49:15
End,2024-09-28 05:53:15
Process A,2024-09-11 08:33:15
Start,2024-09-30 02:33:15
Start,2024-09-09 16:48:15
Process B,2024-10-04 08:50:15
Start,2024-09-26 21:10:15
Start,2024-09-26 22:00:15
Start,2024-09-23 12:32:15
Process A,2024-10-01 06:40:15
Process A,2024-09-24 15:58:15
End,2024-09-13 21:21:15
Process B,2024-09-23 04:28:15
Process B,2024-09-08 15:22:15
Start,2024-09-30 01:43:15
End,2024-09-15 00:05:15
End,2024-10-06 07:23:15
Start,2024-09-30 20:00:15
Process A,2024-10-04 02:02:15
Process B,2024-10-08 08:33:15
End,2024-10-04 10:17:15
End,2024-09-09 06:41:15
End,2024-09-22 09:56:15
End,2024-10-07 02:45:15
End,2024-09-24 00:38:15
Start,2024-09-09 03:59:15
End,2024-09-15 18:47:15
End,2024-09-12 00:16:15
Process A,2024-10-04 01:06:15
End,2024-09-18 19:00:15
End,2024-09-22 17:57:15
Process B,2024-09-14 16:21:15
End,2024-09-30 13:24:15
Process A,2024-10-05 20:13:15
Start,2024-09-14 19:28:15
Start,2024-09-17 08:46:15
Process A,2024-10-02 06:40:15
Start,2024-09-12 00:02:15
Process A,2024-10-04 20:15:15
End,2024-10-08 04:32:15
Process A,2024-09-19 13:15:15
End,2024-10-06 17:19:15
Process A,2024-09-14 11:16:15
Process A,2024-10-03 20:51:15
Process B,2024-10-01 15:18:15
Process A,2024-10-07 03:07:15
Start,2024-09-08 21:50:15
Process A,2024-10-06 09:56:15
Process B,2024-09-19 12:27:15
Process A,2024-09-25 05:19:15
Start,2024-09-15 15:27:15
Start,2024-09-11 09:45:15
End,2024-10-06 00:32:15
End,2024-09-20 09:40:15
Process A,2024-09-21 09:04:15
End,2024-10-06 11:15:15
Process B,2024-09-16 21:48:15
Process A,2024-09-24 20:11:15
End,2024-10-05 11:49:15
Process A,2024-09-29 08:33:15
Process B,2024-09-16 22:46:15
End,2024-09-27 15:43:15
Process A,2024-09-30 01:23:15
Process A,2024-09-28 11:41:15
Process B,2024-09-09 05:03:15
Start,2024-09-22 11:10:15
End,2024-10-01 13:38:15
Start,2024-09-28 05:21:15
Start,2024-09-25 08:45:15
End,2024-10-01 02:53:15
Start,2024-10-05 10:32:15
Start,2024-10-06 22:13:15
Start,2024-09-12 20:17:15
End,2024-09-12 20:32:15
Process B,2024-09-08 01:07:15
End,2024-10-07 05:35:15
Process B,2024-09-13 01:19:15
Start,2024-09-14 12:42:15
End,2024-09-28 04:32:15
End,2024-09-14 15:51:15
Process A,2024-09-24 18:53:15
Process B,2024-09-16 03:23:15
Process B,2024-09-27 15:25:15
Start,2024-10-03 14:17:15
Start,2024-09-26 18:48:15
Process B,2024-09-28 02:57:15
End,2024-09-17 04:08:15
End,2024-09-25 13:22:15
Start,2024-09-28 12:51:15
Start,2024-09-28 20:52:15
Start,2024-10-05 22:18:15
Start,2024-10-03 13:42:15
End,2024-09-21 02:47:15
End,2024-10-02 16:51:15
Start,2024-10-01 13:38:15
Process A,2024-09-14 17:11:15
Process B,2024-09-17 09:03:15
Start,2024-09-26 14:51:15
Start,2024-09-16 12:52:15
Process B,2024-09-26 22:12:15
Process A,2024-09-28 04:56:15
End,2024-09-21 08:28:15
End,2024-09-26 21:41:15
Process B,2024-09-08 04:55:15
End,2024-09-21 09:40:15
Process A,2024-09-19 21:25:15
Process A,2024-09-11 08:36:15
End,2024-09-24 14:20:15
Start,2024-10-02 20:01:15
End,2024-09-11 14:37:15
Start,2024-09-21 20:40:15
Start,2024-09-08 03:27:15
Start,2024-09-20 13:50:15
End,2024-09-14 20:19:15
Process A,2024-10-06 21:42:15
Start,2024-09-28 13:14:15
Process A,2024-09-18 22:19:15
Process B,2024-09-23 03:21:15
Process B,2024-09-11 04:38:15
End,2024-09-29 16:10:15
Process A,2024-10-08 07:51:15
Process A,2024-09-17 13:29:15
Process B,2024-09-16 14:51:15
End,2024-09-18 06:50:15
Process A,2024-09-24 01:44:15
End,2024-09-20 05:25:15
Start,2024-09-12 22:06:15
Start,2024-09-13 13:16:15
Process B,2024-09-27 08:33:15
Start,2024-10-02 08:52:15
Process A,2024-09-24 07:17:15
Process A,2024-09-11 13:24:15
Process B,2024-10-08 01:58:15
Process A,2024-09-20 22:23:15
End,2024-10-05 16:15:15
Start,2024-09-10 14:24:15
End,2024-09-21 13:41:15
End,2024-09-21 16:37:15
Start,2024-09-12 07:20:15
End,2024-09-21 13:35:15
End,2024-10-04 13:24:15
Process A,2024-09-09 01:03:15
Start,2024-10-07 15:13:15
Start,2024-09-14 22:08:15
End,2024-10-05 05:39:15
Start,2024-09-11 04:14:15
Process B,2024-09-24 01:38:15
Process B,2024-09-11 22:46:15
Start,2024-09-18 11:25:15
Start,2024-10-06 20:06:15
Start,2024-09-12 21:41:15
Start,2024-09-14 08:04:15
Process A,2024-10-07 18:12:15
Start,2024-09-29 01:56:15
Start,2024-09-28 09:15:15
Process B,2024-09-28 03:35:15
Process B,2024-10-01 21:52:15
Process A,2024-10-04 23:06:15
End,2024-09-28 21:59:15
Process A,2024-10-08 17:38:15
Start,2024-09-27 22:45:15
Process A,2024-09-09 01:10:15
End,2024-10-07 20:28:15
Process A,2024-09-20 06:04:15
End,2024-09-09 02:07:15
Start,2024-09-23 08:11:15
End,2024-09-26 14:03:15
Start,2024-09-18 04:32:15
Process A,2024-09-20 17:20:15
End,2024-09-14 20:53:15
Start,2024-09-16 17:32:15
Start,2024-09-13 14:22:15
Start,2024-09-28 21:24:15
End,2024-09-25 05:14:15
Process B,2024-10-06 05:28:15
Process A,2024-09-11 22:30:15
Start,2024-10-08 13:46:15
Process B,2024-10-07 15:11:15
Start,2024-09-17 06:40:15
Start,2024-09-18 04:35:15
Process A,2024-10-06 23:06:15
Start,2024-10-07 12:59:15
End,2024-10-07 00:07:15
Process B,2024-09-27 20:47:15
Process A,2024-09-22 23:33:15
Process B,2024-10-06 03:56:15
End,2024-09-25 00:07:15
Start,2024-09-12 10:26:15
Process A,2024-09-30 20:49:15
Process B,2024-09-10 18:57:15
Process A,2024-09-12 20:37:15
Process A,2024-09-29 10:58:15
Start,2024-09-29 08:16:15
Start,2024-10-02 07:44:15
Process A,2024-09-09 18:11:15
Process B,2024-09-13 02:31:15
Process B,2024-10-06 10:07:15
Start,2024-09-08 00:49:15
Start,2024-09-15 20:05:15
Process A,2024-09-22 00:37:15
Start,2024-10-01 15:41:15
Process A,2024-09-27 05:59:15
Process A,2024-10-07 00:43:15
End,2024-09-28 01:51:15
Start,2024-10-03 02:36:15
Start,2024-09-14 09:23:15
End,2024-09-17 02:13:15
Start,2024-09-08 06:56:15
Process B,2024-09-21 16:53:15
End,2024-09-25 00:05:15
Process A,2024-09-26 18:33:15
Process A,2024-09-21 00:15:15
Process B,2024-10-05 05:19:15
Process B,2024-09-26 04:53:15
Process A,2024-09-22 22:35:15
Start,2024-09-24 15:25:15
Start,2024-09-27 10:12:15
Start,2024-09-15 03:32:15
End,2024-09-13 20:38:15
Start,2024-10-07 11:39:15
Process B,2024-09-13 17:29:15
End,2024-10-01 17:37:15
End,2024-10-06 16:10:15
Process A,2024-09-26 11:22:15
Process A,2024-09-26 09:14:15
Process B,2024-09-15 10:20:15
Start,2024-09-17 21:32:15
Start,2024-09-11 05:50:15
Process B,2024-09-25 07:48:15
Process A,2024-09-19 17:10:15
Process B,2024-09-23 02:33:15
Process B,2024-09-07 22:38:15
Process B,2024-09-16 00:21:15
Process A,2024-09-25 17:34:15
Process B,2024-09-17 16:08:15
Process B,2024-09-13 12:17:15
Process A,2024-09-11 12:05:15
Start,2024-09-13 12:58:15
End,2024-10-05 00:24:15
Process B,2024-10-07 22:31:15
Process B,2024-09-11 03:17:15
Process B,2024-10-06 09:33:15
Process A,2024-09-17 17:05:15
Process A,2024-09-10 00:53:15
End,2024-09-25 17:43:15
End,2024-09-08 10:50:15
Process B,2024-10-06 08:31:15
End,2024-10-06 19:25:15
Process B,2024-09-10 23:58:15
Process B,2024-09-15 04:20:15
End,2024-09-27 11:00:15
Process A,2024-09-18 05:44:15
Start,2024-09-26 08:07:15
Process B,2024-09-28 15:26:15
End,2024-09-21 05:33:15
Process B,2024-09-23 22:46:15
Start,2024-10-07 09:27:15
Process B,2024-09-29 22:44:15
Start,2024-10-02 23:12:15
Process A,2024-09-13 03:49:15
Start,2024-09-19 13:42:15
Process B,2024-09-15 03:12:15
Start,2024-09-09 06:29:15
End,2024-09-19 00:04:15
Start,2024-09-08 13:15:15
Start,2024-09-28 07:39:15
Process A,2024-09-16 06:42:15
Start,2024-09-12 03:16:15
